fips_state_county_code,year,site_name,pop_total_any_ethnicity,pop_adult_any_ethnicity,pop_total_any_ethnicity_17,pop_total_hispanic_any_race,pop_adult_hispanic_any_race,pop_adult_hispanic_17_any_race,pop_total_black_any_ethnicity,pop_adult_black_any_ethnicity,pop_adult_male_black_any_ethnicity,pop_adult_female_black_any_ethnicity,pop_total_black_non_hispanic,pop_adult_black_non_hispanic,pop_adult_male_black_non_hispanic,pop_adult_female_black_non_hispanic,pop_adult_black_17_any_ethnicity,pop_adult_black_17_non_hispanic,pop_total_white_any_ethnicity,pop_adult_white_any_ethnicity,pop_adult_male_white_any_ethnicity,pop_adult_female_white_any_ethnicity,pop_total_white_non_hispanic,pop_adult_white_non_hispanic,pop_adult_male_white_non_hispanic,pop_adult_female_white_non_hispanic,pop_adult_white_17_any_ethnicity,pop_adult_white_17_non_hispanic,pop_total_AIAN_any_ethnicity,pop_adult_AIAN_any_ethnicity,pop_adult_male_AIAN_any_ethnicity,pop_adult_female_AIAN_any_ethnicity,pop_total_AIAN_non_hispanic,pop_adult_AIAN_non_hispanic,pop_adult_male_AIAN_non_hispanic,pop_adult_female_AIAN_non_hispanic,pop_adult_AIAN_17_any_ethnicity,pop_adult_AIAN_17_non_hispanic,pop_total_API_any_ethnicity,pop_adult_API_any_ethnicity,pop_adult_male_API_any_ethnicity,pop_adult_female_API_any_ethnicity,pop_total_API_non_hispanic,pop_adult_API_non_hispanic,pop_adult_male_API_non_hispanic,pop_adult_female_API_non_hispanic,pop_adult_API_17_any_ethnicity,pop_adult_API_17_non_hispanic
04019,2010,Pima,981649,756826,770133,340154,224116,230543,44238,30247,16443,13804,35900,25833,14393,11440,31037,26456,859784,671333,325015,346318,551556,466465,227256,239209,682608,471915,44475,29604,14174,15430,25279,17479,8151,9328,30429,17946,33152,25642,11612,14030,28760,22933,10344,12589,26059,23273
04019,2011,Pima,988500,765156,778193,346229,230570,236894,45239,31179,17076,14103,36653,26563,14918,11645,31940,27160,863697,677047,328468,348579,549994,466308,227542,238766,688013,471558,45071,30222,14525,15697,25645,17806,8353,9453,31027,18256,34493,26708,12099,14609,29979,23909,10784,13125,27213,24325
04019,2012,Pima,993231,771246,784087,351658,236337,242749,46199,31942,17515,14427,37381,27201,15317,11884,32701,27775,865833,680917,330556,350361,547397,464899,227093,237806,691678,469906,45659,30713,14792,15921,25903,18044,8498,9546,31531,18472,35540,27674,12570,15104,30892,24765,11223,13542,28177,25185
04019,2013,Pima,997374,776739,789349,357032,242163,248388,46968,32592,17935,14657,37918,27666,15668,11998,33323,28221,867556,684276,332238,352038,544228,462958,226242,236716,694824,467907,46052,31095,14966,16129,26152,18202,8544,9658,31887,18627,36798,28776,13149,15627,32044,25750,11750,14000,29315,26206
04019,2014,Pima,1004521,784129,796689,363277,247982,254352,47946,33304,18364,14940,38604,28207,15997,12210,34026,28745,872070,689376,335165,354211,543131,462805,226381,236424,699896,467596,46477,31583,15204,16379,26372,18407,8674,9733,32367,18820,38028,29866,13714,16152,33137,26728,12261,14467,30400,27176
04019,2015,Pima,1009490,790273,802757,370001,254246,260702,48216,33583,18476,15107,38667,28329,16051,12278,34323,28868,875302,693964,337119,356845,540562,461702,225601,236101,704397,466336,47314,32192,15487,16705,26555,18643,8775,9868,32966,19057,38658,30534,14074,16460,33705,27353,12589,14764,31071,27794
04019,2016,Pima,1017083,798922,811633,376288,260262,266780,49322,34609,19048,15561,39536,29171,16515,12656,35369,29740,880075,700153,340275,359878,539997,462446,226087,236359,710734,467172,47964,32631,15678,16953,26648,18812,8833,9979,33428,19238,39722,31529,14512,17017,34614,28231,12977,15254,32102,28703
04019,2017,Pima,1027115,809751,822875,383198,266856,273869,50600,35720,19638,16082,40491,30051,16980,13071,36539,30651,887305,708509,344282,364227,541381,464855,227250,237605,719397,469465,48722,33154,15928,17226,26765,19021,8915,10106,34018,19475,40488,32368,14938,17430,35280,28968,13363,15605,32921,29415
04019,2018,Pima,1037746,821642,834466,389909,273918,280703,51621,36735,20121,16614,41220,30801,17339,13462,37500,31350,895516,718043,348844,369199,543816,468027,228712,239315,728755,472669,49381,33783,16207,17576,26909,19324,9033,10291,34616,19746,41228,33081,15333,17748,35892,29572,13685,15887,33595,29998
04019,2019,Pima,1049261,833813,846161,396734,280767,287267,52717,37779,20688,17091,42057,31639,17778,13861,38593,32236,904251,727794,353262,374532,546866,471663,230228,241435,738010,476067,50240,34462,16523,17939,27133,19624,9174,10450,35255,20039,42053,33778,15679,18099,36471,30120,13956,16164,34303,30552
04019,2020,Pima,1061175,846409,858621,403247,287503,294081,53836,38924,21300,17624,42916,32530,18268,14262,39675,33075,913566,737858,357774,380084,550681,475772,232073,243699,747979,480020,50973,35204,16871,18333,27307,19982,9329,10653,36017,20400,42800,34423,15968,18455,37024,30622,14183,16439,34950,31045
06037,2010,Los Angeles,9821647,7429043,7578907,4693585,3210550,3299636,969278,723851,331878,391973,860745,656628,299927,356701,740142,670746,7189636,5375441,2667717,2707724,2832578,2384313,1188014,1196299,5486647,2413139,169998,120496,61038,59458,27624,22053,10411,11642,123664,22425,1492735,1209255,556503,652752,1407115,1155499,530222,625277,1228454,1172961
06037,2011,Los Angeles,9873700,7505674,7653634,4733086,3264502,3353111,971075,730107,334979,395128,860823,660907,302051,358856,746061,674727,7217555,5421418,2689676,2731742,2824314,2381838,1187828,1194010,5531497,2409903,170493,122597,62169,60428,27712,22178,10471,11707,125675,22547,1514577,1231552,566520,665032,1427765,1176249,539446,636803,1250401,1193346
06037,2012,Los Angeles,9931394,7589768,7735002,4768771,3318661,3406096,975229,739188,340137,399051,863199,667781,306015,361766,754521,680974,7245702,5471499,2714590,2756909,2820488,2383425,1189771,1193654,5579740,2410842,171503,124841,63189,61652,27971,22465,10600,11865,127884,22825,1538960,1254240,577166,677074,1450965,1197436,549429,648007,1272857,1214265
06037,2013,Los Angeles,9987189,7669437,7811220,4800721,3371638,3457323,978990,747190,344905,402285,865538,673981,309821,364160,761915,686601,7269793,5518467,2739182,2779285,2815821,2382639,1190401,1192238,5624171,2409087,171877,126780,64192,62588,28107,22617,10717,11900,129690,22952,1566529,1277000,587642,689358,1477002,1218562,559056,659506,1295444,1235257
06037,2014,Los Angeles,10033449,7738088,7875157,4826917,3417950,3501144,979932,752594,348227,404367,865016,677619,312268,365351,766630,689499,7286881,5557104,2758656,2798448,2809715,2379658,1189457,1190201,5659258,2405012,172251,128418,65008,63410,28140,22703,10787,11916,131272,23052,1594385,1299972,598128,701844,1503661,1240158,568852,671306,1317997,1256450
06037,2015,Los Angeles,10077263,7800997,7935185,4850292,3460542,3541606,978702,755962,350361,405601,862572,679240,313513,365727,769727,690922,7301289,5591562,2777277,2814285,2803356,2376001,1188690,1187311,5691639,2401281,172385,129755,65659,64096,28145,22768,10843,11925,132561,23113,1624887,1323718,608544,715174,1532898,1262446,578515,683931,1341258,1278263
06037,2016,Los Angeles,10094865,7844956,7975739,4865928,3496350,3575810,975400,757905,351601,406304,857974,679536,313978,365558,771272,690781,7301940,5614686,2789868,2824818,2790779,2367352,1185446,1181906,5712512,2391901,172454,130977,66353,64624,28057,22776,10895,11881,133594,23067,1645071,1341388,616533,724855,1552127,1278942,585913,693029,1358361,1294180
06037,2017,Los Angeles,10092365,7870676,8002013,4868179,3522388,3602128,972271,759409,353200,406209,853735,679547,314777,364770,772772,690765,7284007,5623421,2795084,2828337,2772695,2353653,1179343,1174310,5721309,2377917,172386,131780,66688,65092,27863,22627,10787,11840,134398,22915,1663701,1356066,623445,732621,1569893,1292461,592202,700259,1373534,1308288
06037,2018,Los Angeles,10061533,7879584,8006926,4858933,3542256,3619727,967686,760246,354510,405736,848463,678964,315328,363636,772899,689479,7251932,5623759,2796192,2827567,2750533,2336855,1171923,1164932,5718862,2360450,171624,132110,66789,65321,27597,22462,10720,11742,134583,22740,1670291,1363469,626239,737230,1576007,1299047,594672,704375,1380582,1314530
06037,2019,Los Angeles,10011602,7871889,7993326,4841453,3553727,3628316,962930,760032,355220,404812,842920,677530,315391,362139,771847,687272,7204937,5611482,2790157,2821325,2722894,2315370,1161497,1153873,5702712,2337905,171776,132266,66771,65495,27237,22224,10590,11634,134748,22490,1671959,1368109,628551,739558,1577098,1303038,596588,706450,1384019,1317343
06037,2020,Los Angeles,9943046,7843569,7963961,4822226,3561475,3635244,958368,758393,355183,403210,837431,674945,314904,360041,769968,684477,7143346,5584357,2776485,2807872,2682988,2282344,1144939,1137405,5674604,2304719,172013,132266,66839,65427,26868,21976,10465,11511,134714,22222,1669319,1368553,628877,739676,1573533,1302829,596568,706261,1384675,1317299
06075,2010,San Francisco,805519,697834,703788,121992,97586,98927,56127,45771,23589,22182,50714,41843,21484,20359,46445,42433,454849,401266,214633,186633,351373,317565,169828,147737,403624,318828,8602,7027,3998,3029,2526,2223,1189,1034,7115,2238,285941,243770,111525,132245,278914,238617,108958,129659,246604,241362
06075,2011,San Francisco,815694,706233,712210,124030,98985,100286,55547,45326,23415,21911,50116,41390,21338,20052,45984,41969,459890,404515,216771,187744,354459,319479,171443,148036,406873,320765,8642,7065,3986,3079,2540,2229,1190,1039,7141,2244,291615,249327,114085,135242,284549,244150,111518,132632,252212,246946
06075,2012,San Francisco,828963,717708,723663,126590,101009,102325,55049,44989,23331,21658,49574,41013,21228,19785,45633,41570,467416,410273,220444,189829,359665,323412,174244,149168,412593,324653,8676,7085,4041,3044,2567,2240,1226,1014,7164,2255,297822,255361,116938,138423,290567,250034,114300,135734,258273,252860
06075,2013,San Francisco,839695,726899,732582,128173,102277,103508,55005,44987,23369,21618,49448,40921,21200,19721,45569,41434,472020,413553,222772,190781,362844,325577,176066,149511,415773,326808,8657,7087,4043,3044,2552,2223,1211,1012,7172,2234,304013,261272,119900,141372,296678,255901,117227,138674,264068,258598
06075,2014,San Francisco,850918,736675,742336,129496,103316,104566,54757,44799,23369,21430,49183,40699,21189,19510,45371,41201,476926,417197,225351,191846,366434,328233,178232,150001,419476,329498,8539,7025,4014,3011,2528,2195,1202,993,7104,2208,310696,267654,122885,144769,303277,262232,120184,142048,270385,264863
06075,2015,San Francisco,863237,747338,752778,131123,104585,105774,54679,44707,23366,21341,49065,40528,21131,19397,45257,40992,482284,421266,227931,193335,370385,331229,180326,150903,423515,332539,8501,6986,3990,2996,2539,2183,1199,984,7065,2202,317773,274379,125983,148396,310125,268813,123187,145626,276941,271271
06075,2016,San Francisco,871343,754286,759740,132326,105298,106515,54671,44735,23435,21300,48981,40494,21165,19329,45298,40983,484572,422487,228735,193752,371671,331892,180989,150903,424827,333247,8416,6950,3941,3009,2496,2157,1176,981,7026,2168,323684,280114,128704,151410,315869,274445,125862,148583,282589,276827
06075,2017,San Francisco,877471,759469,765265,133161,106012,107290,55041,45132,23734,21398,49176,40740,21396,19344,45744,41272,485304,422543,228996,193547,371919,331518,180991,150527,425026,332978,8428,6954,3942,3012,2488,2134,1175,959,7029,2146,328698,284840,130964,153876,320727,279065,128048,151017,287466,281579
06075,2018,San Francisco,879676,761819,767585,133569,106393,107681,55221,45391,23838,21553,49351,40968,21514,19454,45958,41451,484798,421727,228605,193122,371003,330358,180506,149852,424267,331863,8342,6894,3875,3019,2468,2110,1154,956,6967,2120,331315,287807,132441,155366,323285,281990,129495,152495,290393,284470
06075,2019,San Francisco,878826,761456,766861,133308,106280,107508,55185,45505,23851,21654,49283,41023,21496,19527,46074,41524,481797,418864,226993,191871,368287,327640,179039,148601,421364,329135,8305,6831,3836,2995,2449,2089,1161,928,6893,2101,333539,290256,133649,156607,325499,284424,130697,153727,292530,286593
06075,2020,San Francisco,866606,750021,755762,131965,105099,106397,54652,45137,23818,21319,48747,40670,21459,19211,45707,41166,470904,408578,221185,187393,358570,318348,173872,144476,411270,319984,8102,6663,3720,2943,2369,2044,1141,903,6734,2057,332948,289643,133460,156183,324955,283860,130541,153319,292051,286158
12099,2010,Palm Beach,1323631,1054827,1071064,252693,181754,185690,242082,167649,78464,89185,229829,159679,74467,85212,172196,164001,1036125,853149,408246,444903,804387,685396,324065,361331,864239,692906,8934,6291,3910,2381,2453,1770,901,869,6416,1803,36490,27738,12823,14915,34269,26228,12027,14201,28213,26664
12099,2011,Palm Beach,1336875,1067551,1084062,260578,188457,192444,248924,173334,81079,92255,236005,165022,76944,88078,177892,169369,1041592,859225,411098,448127,802544,685100,324034,361066,870545,692763,8771,6257,3854,2403,2479,1805,903,902,6383,1845,37588,28735,13239,15496,35269,27167,12429,14738,29242,27641
12099,2012,Palm Beach,1355149,1084874,1101463,270154,196558,200685,257387,180565,84323,96242,243528,171703,79937,91766,185158,176078,1050125,868156,415918,452238,802503,686540,325290,361250,879521,694115,8811,6349,3886,2463,2513,1860,939,921,6471,1900,38826,29804,13734,16070,36451,28213,12900,15313,30313,28685
12099,2013,Palm Beach,1376782,1104607,1120832,278446,203096,207258,266307,187940,87954,99986,251740,178671,83377,95294,192197,182703,1061488,879321,421612,457709,806428,691681,328265,363416,890630,699181,8846,6420,3914,2506,2530,1904,974,930,6545,1939,40141,30926,14244,16682,37638,29255,13384,15871,31460,29751
12099,2014,Palm Beach,1399064,1124450,1140971,288406,211288,215639,273644,193833,90718,103115,258271,184092,85922,98170,198331,188325,1074669,891707,427815,463892,810593,696478,330746,365732,903063,703867,8934,6549,3946,2603,2597,1969,997,972,6669,2005,41817,32361,14928,17433,39197,30623,14024,16599,32908,31135
12099,2015,Palm Beach,1424772,1146845,1163399,300165,220980,225432,281474,200337,93912,106425,265183,189926,88792,101134,204883,194202,1090638,905961,435260,470701,815847,701792,333815,367977,917268,709053,8990,6602,3958,2644,2625,1993,1008,985,6731,2023,43670,33945,15675,18270,40952,32154,14750,17404,34517,32689
12099,2016,Palm Beach,1451469,1170013,1186820,312952,231467,236017,289215,206784,96977,109807,272090,195801,91559,104242,211446,200196,1107409,920847,442511,478336,820889,706951,336594,370357,932331,714279,9105,6728,3983,2745,2655,2002,1010,992,6862,2046,45740,35654,16520,19134,42883,33792,15563,18229,36181,34282
12099,2017,Palm Beach,1470583,1187425,1204615,325248,241763,246577,296139,212586,99690,112896,278215,201125,94043,107082,217492,205729,1117928,931069,447870,483199,820196,707565,337221,370344,942633,714754,9290,6911,4033,2878,2669,2032,1026,1006,7071,2089,47226,36859,17036,19823,44255,34940,16059,18881,37419,35466
12099,2018,Palm Beach,1482833,1200139,1217086,335025,250441,255220,301404,217676,102234,115442,282766,205716,96373,109343,222452,210199,1123414,937308,451021,486287,816813,705751,336517,369234,948725,712827,9417,7050,4079,2971,2696,2089,1059,1030,7194,2130,48598,38105,17623,20482,45533,36142,16617,19525,38715,36710
12099,2019,Palm Beach,1497800,1214391,1231104,344719,258731,263552,306737,222682,104596,118086,287328,210191,98426,111765,227304,214512,1131609,945273,454865,490408,816410,706149,336876,369273,956614,713139,9541,7178,4120,3058,2688,2108,1060,1048,7348,2156,49913,39258,18155,21103,46655,37212,17102,20110,39838,37745
12099,2020,Palm Beach,1507600,1223912,1240105,353090,265636,270292,310365,226534,106230,120304,290396,213635,99902,113733,230991,217842,1136781,950016,457167,492849,814018,704563,336120,368443,961004,711290,9647,7286,4139,3147,2661,2119,1044,1075,7433,2163,50807,40076,18458,21618,47435,37959,17363,20596,40677,38518
16001,2010,Ada,393369,289671,295093,28091,17168,17635,6037,3311,2078,1233,5418,2990,1907,1083,3433,3102,371318,275039,136455,138584,345842,259364,128264,131100,280091,263994,3897,2760,1436,1324,2473,1898,984,914,2823,1932,12117,8561,3982,4579,11545,8251,3821,4430,8746,8430
16001,2011,Ada,401352,296768,302320,29114,18040,18559,6238,3491,2167,1324,5631,3179,2003,1176,3638,3314,378368,281330,139679,141651,351927,264807,131048,133759,286505,269511,3999,2807,1445,1362,2497,1916,984,932,2863,1945,12747,9140,4301,4839,12183,8826,4144,4682,9314,8991
16001,2012,Ada,409032,303665,309244,30225,18918,19476,6358,3590,2240,1350,5707,3247,2042,1205,3734,3374,385470,287746,142874,144872,358004,270378,133808,136570,292941,275069,4038,2824,1468,1356,2487,1925,998,927,2881,1957,13166,9505,4492,5013,12609,9197,4347,4850,9688,9368
16001,2013,Ada,416180,310418,316217,31350,19808,20406,6575,3723,2314,1409,5924,3389,2131,1258,3865,3521,392048,294053,145991,148062,363468,275793,136520,139273,299446,280641,4048,2848,1491,1357,2505,1966,1027,939,2914,2004,13509,9794,4628,5166,12933,9462,4469,4993,9992,9645
16001,2014,Ada,425774,318816,324677,32934,21001,21591,6939,3962,2481,1481,6257,3619,2287,1332,4128,3771,400770,301828,149960,151868,370717,282433,139926,142507,307252,287316,4156,2928,1526,1402,2533,2012,1042,970,2990,2048,13909,10098,4793,5305,13333,9751,4610,5141,10307,9951
16001,2015,Ada,433254,325496,331592,34103,21901,22536,7340,4257,2617,1640,6644,3889,2418,1471,4425,4044,407279,307757,152864,154893,376136,287514,142434,145080,313383,292565,4215,2950,1545,1405,2563,2034,1059,975,3019,2071,14420,10532,4923,5609,13808,10158,4728,5430,10765,10376
16001,2016,Ada,444929,336091,342554,35895,23340,23994,7704,4544,2809,1735,6951,4144,2597,1547,4729,4313,417548,317208,157629,159579,384764,295624,146584,149040,323144,300964,4339,3067,1583,1484,2632,2105,1087,1018,3140,2147,15338,11272,5213,6059,14687,10878,5018,5860,11541,11136
16001,2017,Ada,456994,347062,353623,37757,24890,25588,8041,4853,2983,1870,7251,4418,2753,1665,5041,4593,428582,327230,162649,164581,394139,304249,150911,153338,333280,309656,4486,3206,1694,1512,2666,2161,1130,1031,3264,2191,15885,11773,5430,6343,15181,11344,5212,6132,12038,11595
16001,2018,Ada,469161,358365,364982,39348,26228,26893,8405,5133,3171,1962,7605,4693,2930,1763,5328,4878,439712,337628,167942,169686,403708,313336,155562,157774,343719,318819,4570,3303,1710,1593,2735,2240,1154,1086,3373,2278,16474,12301,5640,6661,15765,11868,5425,6443,12562,12114
16001,2019,Ada,481880,370285,376768,41347,27823,28503,8805,5460,3371,2089,7941,4992,3116,1876,5653,5167,451264,348489,173285,175204,413464,322745,160252,162493,354482,328116,4737,3444,1762,1682,2829,2318,1189,1129,3497,2341,17074,12892,5883,7009,16299,12407,5646,6761,13136,12641
16001,2020,Ada,494399,382156,388907,43280,29465,30172,9117,5766,3542,2224,8179,5255,3266,1989,5911,5386,462675,359391,178585,180806,423126,332127,164819,167308,365695,337776,4841,3517,1823,1694,2912,2366,1227,1139,3579,2403,17766,13482,6140,7342,16902,12943,5872,7071,13722,13170
17031,2010,Cook,5198977,3968560,4042100,1247865,825135,846754,1333724,964208,420636,543572,1286627,936341,407576,528765,989603,960813,3465647,2693325,1320643,1372682,2315696,1928804,926429,1002375,2736796,1952482,47194,31940,16223,15717,10154,7773,3550,4223,32740,7910,352412,279087,132699,146388,338635,270507,128420,142087,282961,274141
17031,2011,Cook,5219636,3998421,4070768,1263134,840358,862218,1329721,970449,424496,545953,1282252,942003,411077,530926,995118,965789,3478042,2706584,1328009,1378575,2313231,1927927,927661,1000266,2749622,1950865,47083,32327,16482,15845,10130,7783,3575,4208,33110,7920,364790,289061,137368,151693,350889,280350,133042,147308,292918,283976
17031,2012,Cook,5239105,4027102,4097934,1275470,854020,875937,1327373,976805,428020,548785,1279322,947703,414287,533416,1000022,970042,3488287,2719204,1334908,1384296,2311954,1928191,929158,999033,2762025,1950907,47162,32826,16724,16102,10117,7794,3556,4238,33667,7940,376283,298267,141572,156695,362242,289394,137137,152257,302220,293108
17031,2013,Cook,5252513,4052750,4120728,1285999,867349,889186,1321494,980297,430099,550198,1272878,950673,416168,534505,1001589,971097,3495144,2730731,1341816,1388915,2308991,1927539,930694,996845,2772579,1949362,47007,33254,16870,16384,10099,7833,3579,4254,34079,7968,388868,308468,146448,162020,374546,299356,141908,157448,312481,303115
17031,2014,Cook,5254108,4065806,4132434,1294837,879422,901126,1314708,981109,430871,550238,1265656,951024,416684,534340,1001837,970853,3493452,2733854,1344394,1389460,2299072,1919722,928331,991391,2775036,1941053,46956,33772,17187,16585,10043,7851,3590,4261,34556,7951,398992,317071,150502,166569,384500,307787,145878,161909,321005,311451
17031,2015,Cook,5243371,4066513,4132186,1301713,889462,911380,1306221,979625,430561,549064,1256888,949157,416152,533005,999589,968209,3482390,2728203,1342739,1385464,2281595,1905033,922476,982557,2769074,1925817,46906,34150,17340,16810,9953,7781,3548,4233,34922,7889,407854,324535,153887,170648,393222,315080,149166,165914,328601,318891
17031,2016,Cook,5223386,4061229,4125718,1306348,898460,920526,1294896,975909,429820,546089,1245113,944911,415081,529830,995109,963185,3467437,2720617,1340067,1380550,2262391,1889449,916154,973295,2761118,1909754,46604,34383,17456,16927,9782,7677,3489,4188,35193,7798,414449,330320,156457,173863,399752,320732,151699,169033,334298,324455
17031,2017,Cook,5199582,4053876,4118650,1308031,906476,929167,1280028,969289,427255,542034,1230047,937832,412268,525564,988143,955718,3449893,2712366,1336980,1375386,2243171,1873975,910002,963973,2753285,1894087,46340,34636,17562,17074,9750,7674,3501,4173,35423,7795,423321,337585,159858,177727,408583,327919,155095,172824,341799,331883
17031,2018,Cook,5171007,4042586,4106100,1308966,914392,936942,1268358,964111,425145,538966,1217913,932083,409843,522240,982166,949180,3427522,2700929,1331807,1369122,2220229,1855564,901862,953702,2741352,1875300,46060,34829,17646,17183,9724,7659,3492,4167,35598,7768,429067,342717,162309,180408,414175,332888,157485,175403,346984,336910
17031,2019,Cook,5145326,4033560,4095320,1309275,921772,944090,1259794,961309,423993,537316,1209033,928762,408457,520305,978488,944973,3406041,2690651,1326940,1363711,2199085,1838685,894240,944445,2730143,1857795,46236,34980,17617,17363,9666,7625,3440,4185,35797,7730,433255,346620,164216,182404,418267,336716,159344,177372,350892,340732
17031,2020,Cook,5108284,4013243,4074585,1309539,929368,951987,1249846,956522,422274,534248,1198624,923508,406482,517026,973199,939173,3377153,2673085,1318451,1354634,2170599,1814170,882541,931629,2712627,1833084,46266,34988,17621,17367,9556,7532,3403,4129,35777,7626,435019,348648,165270,183378,419966,338665,160329,178336,352982,342715
17097,2010,Lake,704179,512160,523876,140542,86878,89500,54376,36397,17243,19154,50001,34061,16110,17951,37557,35135,593966,436644,217067,219577,464900,356368,175098,181270,446388,363704,6774,4289,2275,2014,1422,1039,526,513,4408,1062,49063,34830,16523,18307,47314,33814,16020,17794,35523,34475
17097,2011,Lake,701652,513209,524913,141401,87649,90374,53920,36418,17303,19115,49508,34079,16205,17874,37489,35067,590822,436711,216587,220124,460897,355688,174526,181162,446492,362977,6707,4281,2241,2040,1394,1018,501,517,4415,1037,50203,35799,16940,18859,48452,34775,16442,18333,36517,35458
17097,2012,Lake,702117,517470,529082,142469,88863,91663,54258,37146,17766,19380,49760,34720,16611,18109,38146,35635,589293,438619,217928,220691,458387,356596,175358,181238,448343,363750,6700,4398,2306,2092,1436,1073,538,535,4540,1097,51866,37307,17677,19630,50065,36218,17141,19077,38053,36937
17097,2013,Lake,704259,522407,533731,143796,90282,92979,55169,38103,18169,19934,50513,35573,16960,18613,39106,36488,588911,441116,219422,221694,456872,357889,176305,181584,450555,364863,6735,4526,2399,2127,1466,1113,583,530,4655,1135,53444,38662,18332,20330,51612,37550,17786,19764,39415,38266
17097,2014,Lake,704359,524860,536148,145302,91733,94518,55579,38515,18434,20081,50872,35919,17176,18743,39523,36828,586845,441618,219526,222092,453446,357147,175851,181296,450985,363980,6786,4633,2450,2183,1494,1133,598,535,4776,1156,55149,40094,19019,21075,53245,38928,18464,20464,40864,39666
17097,2015,Lake,704687,527978,539079,147199,93620,96468,55649,38807,18614,20193,50814,36127,17318,18809,39787,36997,585095,442656,220305,222351,450026,356520,175723,180797,451859,363125,6803,4708,2482,2226,1456,1109,573,536,4844,1131,57140,41807,19919,21888,55192,40602,19340,21262,42589,41358
17097,2016,Lake,704401,529693,540720,149410,95658,98600,55878,39157,18797,20360,50932,36391,17478,18913,40118,37242,582684,442423,220552,221871,445553,354464,174941,179523,451585,360945,6812,4814,2548,2266,1482,1124,574,550,4947,1138,59027,43299,20705,22594,57024,42056,20089,21967,44070,42795
17097,2017,Lake,702825,530804,541989,151631,97909,101013,56121,39531,19042,20489,50933,36621,17643,18978,40533,37514,578992,441544,220255,221289,439967,351633,173629,178004,450727,357975,6797,4905,2574,2331,1459,1109,562,547,5051,1131,60915,44824,21476,23348,58835,43532,20842,22690,45678,44356
17097,2018,Lake,700455,531223,542167,153699,100249,103357,56161,39739,19068,20671,50846,36722,17619,19103,40699,37568,574818,440280,219657,220623,433930,348253,172058,176195,449211,354358,6836,5014,2606,2408,1446,1106,551,555,5153,1124,62640,46190,22177,24013,60534,44893,21523,23370,47104,45760
17097,2019,Lake,697134,530770,541468,155454,102252,105418,56075,39928,19286,20642,50641,36802,17773,19029,40833,37588,570436,438662,218977,219685,428088,344907,170499,174408,447377,350753,6924,5108,2648,2460,1418,1087,533,554,5266,1106,63699,47072,22568,24504,61533,45722,21879,23843,47992,46603
17097,2020,Lake,693593,529909,540568,157296,104559,107711,56254,40214,19428,20786,50700,36993,17879,19114,41113,37790,565350,436381,217989,218392,421521,340582,168463,172119,445005,346330,7082,5234,2710,2524,1393,1077,532,545,5376,1098,64907,48080,23147,24933,62683,46698,22439,24259,49074,47639
22033,2010,East Baton Rouge,440937,337276,343327,16353,12224,12438,202787,141858,63128,78730,201168,140798,62575,78223,145362,144275,223241,183797,90147,93650,209256,173218,83926,89292,186190,175431,1488,1129,608,521,1045,785,394,391,1146,798,13421,10492,5361,5131,13115,10251,5223,5028,10629,10385
22033,2011,East Baton Rouge,441627,339048,344905,16255,12073,12241,204511,144093,64289,79804,202869,143030,63750,79280,147589,146505,221844,183037,89811,93226,207941,172577,83678,88899,185250,174645,1422,1089,583,506,1030,783,387,396,1109,802,13850,10829,5488,5341,13532,10585,5351,5234,10957,10712
22033,2012,East Baton Rouge,443075,341098,346774,16481,12073,12251,206415,146485,65344,81141,204732,145423,64810,80613,149791,148713,221189,182566,89455,93111,207126,172094,83396,88698,184764,174138,1412,1086,576,510,1010,782,385,397,1108,800,14059,10961,5582,5379,13726,10726,5451,5275,11111,10872
22033,2013,East Baton Rouge,444345,342425,347959,16772,12182,12384,207857,147960,65863,82097,206119,146884,65354,81530,151184,150088,220578,182097,89212,92885,206260,171509,83098,88411,184244,173479,1453,1114,596,518,1057,829,415,414,1130,841,14457,11254,5744,5510,14137,11021,5616,5405,11401,11167
22033,2014,East Baton Rouge,445334,343290,348832,16883,12083,12289,209292,149411,66379,83032,207483,148306,65854,82452,152691,151565,219916,181346,88890,92456,205581,170886,82928,87958,183432,172795,1440,1122,583,539,1071,853,416,437,1141,867,14686,11411,5833,5578,14316,11162,5700,5462,11568,11316
22033,2015,East Baton Rouge,445776,343559,349115,17480,12320,12510,209503,149644,66467,83177,207538,148497,65924,82573,152854,151680,219550,180961,88605,92356,204814,170298,82570,87728,183116,172295,1441,1120,575,545,1083,863,425,438,1141,881,15282,11834,6087,5747,14861,11581,5941,5640,12004,11749
22033,2016,East Baton Rouge,447020,344780,350396,18160,12573,12806,210774,150979,66959,84020,208613,149767,66399,83368,154235,153001,219219,180578,88398,92180,203978,169699,82279,87420,182751,171668,1447,1110,555,555,1057,851,406,445,1130,866,15580,12113,6269,5844,15212,11890,6137,5753,12280,12055
22033,2017,East Baton Rouge,444848,343262,348984,18379,12490,12687,210570,151404,67242,84162,208356,150245,66707,83538,154838,153663,217108,178553,87351,91202,201721,167689,81295,86394,180658,169618,1445,1094,569,525,1032,839,415,424,1110,853,15725,12211,6283,5928,15360,11999,6160,5839,12378,12163
